"","X","Day","State","ChinaVirusInterest","KungFluInterest","Region"
"312",312,"2020-03-05","AZ",18,0,"Mountain"
"313",313,"2020-03-06","AZ",25,0,"Mountain"
"314",314,"2020-03-07","AZ",15,0,"Mountain"
"315",315,"2020-03-08","AZ",15,0,"Mountain"
"316",316,"2020-03-09","AZ",31,0,"Mountain"
"317",317,"2020-03-10","AZ",13,0,"Mountain"
"318",318,"2020-03-11","AZ",37,12,"Mountain"
"319",319,"2020-03-12","AZ",61,0,"Mountain"
"320",320,"2020-03-13","AZ",68,0,"Mountain"
"321",321,"2020-03-14","AZ",60,0,"Mountain"
"322",322,"2020-03-15","AZ",29,0,"Mountain"
"323",323,"2020-03-16","AZ",100,0,"Mountain"
"324",324,"2020-03-17","AZ",38,0,"Mountain"
"325",325,"2020-03-18","AZ",38,0,"Mountain"
"326",326,"2020-03-19","AZ",57,13,"Mountain"
"327",327,"2020-03-20","AZ",55,0,"Mountain"
"328",328,"2020-03-21","AZ",70,28,"Mountain"
"329",329,"2020-03-22","AZ",70,0,"Mountain"
"330",330,"2020-03-23","AZ",64,0,"Mountain"
"331",331,"2020-03-24","AZ",25,12,"Mountain"
"332",332,"2020-03-25","AZ",82,0,"Mountain"
"333",333,"2020-03-26","AZ",57,0,"Mountain"
"334",334,"2020-03-27","AZ",36,0,"Mountain"
"335",335,"2020-03-28","AZ",28,14,"Mountain"
"336",336,"2020-03-29","AZ",14,0,"Mountain"
"337",337,"2020-03-30","AZ",25,0,"Mountain"
"338",338,"2020-03-31","AZ",58,0,"Mountain"
"339",339,"2020-04-01","AZ",37,0,"Mountain"
"340",340,"2020-04-02","AZ",43,0,"Mountain"
"341",341,"2020-04-03","AZ",49,0,"Mountain"
"342",342,"2020-04-04","AZ",14,0,"Mountain"
"343",343,"2020-04-05","AZ",14,0,"Mountain"
"344",344,"2020-04-06","AZ",34,0,"Mountain"
"345",345,"2020-04-07","AZ",46,0,"Mountain"
"346",346,"2020-04-08","AZ",29,0,"Mountain"
"347",347,"2020-04-09","AZ",12,0,"Mountain"
"348",348,"2020-04-10","AZ",12,0,"Mountain"
"349",349,"2020-04-11","AZ",14,0,"Mountain"
"350",350,"2020-04-12","AZ",13,0,"Mountain"
"351",351,"2020-04-13","AZ",34,0,"Mountain"
"352",352,"2020-04-14","AZ",34,0,"Mountain"
"353",353,"2020-04-15","AZ",11,0,"Mountain"
"354",354,"2020-04-16","AZ",23,0,"Mountain"
"355",355,"2020-04-17","AZ",23,0,"Mountain"
"356",356,"2020-04-18","AZ",26,0,"Mountain"
"357",357,"2020-01-21","CA",45,0,"West"
"358",358,"2020-01-22","CA",62,0,"West"
"359",359,"2020-01-23","CA",82,0,"West"
"360",360,"2020-01-24","CA",94,1,"West"
"361",361,"2020-01-25","CA",100,0,"West"
"362",362,"2020-01-26","CA",81,1,"West"
"363",363,"2020-01-27","CA",65,1,"West"
"364",364,"2020-01-28","CA",70,1,"West"
"365",365,"2020-01-29","CA",55,2,"West"
"366",366,"2020-01-30","CA",43,1,"West"
"367",367,"2020-01-31","CA",43,0,"West"
"368",368,"2020-02-01","CA",35,0,"West"
"369",369,"2020-02-02","CA",30,2,"West"
"370",370,"2020-02-03","CA",23,1,"West"
"371",371,"2020-02-04","CA",25,1,"West"
"372",372,"2020-02-05","CA",22,1,"West"
"373",373,"2020-02-06","CA",21,1,"West"
"374",374,"2020-02-07","CA",28,0,"West"
"375",375,"2020-02-08","CA",20,0,"West"
"376",376,"2020-02-09","CA",21,1,"West"
"377",377,"2020-02-10","CA",23,1,"West"
"378",378,"2020-02-11","CA",21,0,"West"
"379",379,"2020-02-12","CA",18,0,"West"
"380",380,"2020-02-13","CA",20,0,"West"
"381",381,"2020-02-14","CA",21,0,"West"
"382",382,"2020-02-15","CA",14,0,"West"
"383",383,"2020-02-16","CA",17,0,"West"
"384",384,"2020-02-17","CA",12,0,"West"
"385",385,"2020-02-18","CA",16,0,"West"
"386",386,"2020-02-19","CA",14,0,"West"
"387",387,"2020-02-20","CA",12,0,"West"
"388",388,"2020-02-21","CA",12,0,"West"
"389",389,"2020-02-22","CA",10,0,"West"
"390",390,"2020-02-23","CA",12,0,"West"
"391",391,"2020-02-24","CA",15,0,"West"
"392",392,"2020-02-25","CA",15,0,"West"
"393",393,"2020-02-26","CA",17,0,"West"
"394",394,"2020-02-27","CA",18,0,"West"
"395",395,"2020-02-28","CA",26,1,"West"
"396",396,"2020-02-29","CA",24,0,"West"
"397",397,"2020-03-01","CA",13,0,"West"
"398",398,"2020-03-02","CA",16,1,"West"
"399",399,"2020-03-03","CA",17,0,"West"
"400",400,"2020-03-04","CA",18,0,"West"
"401",401,"2020-03-05","CA",23,0,"West"
"402",402,"2020-03-06","CA",25,1,"West"
"403",403,"2020-03-07","CA",21,0,"West"
"404",404,"2020-03-08","CA",15,0,"West"
"405",405,"2020-03-09","CA",18,1,"West"
"406",406,"2020-03-10","CA",20,0,"West"
"407",407,"2020-03-11","CA",22,1,"West"
"408",408,"2020-03-12","CA",37,0,"West"
"409",409,"2020-03-13","CA",41,0,"West"
"410",410,"2020-03-14","CA",28,0,"West"
"411",411,"2020-03-15","CA",37,0,"West"
"412",412,"2020-03-16","CA",32,1,"West"
"413",413,"2020-03-17","CA",39,1,"West"
"414",414,"2020-03-18","CA",47,15,"West"
"415",415,"2020-03-19","CA",55,13,"West"
"416",416,"2020-03-20","CA",45,6,"West"
"417",417,"2020-03-21","CA",36,3,"West"
"418",418,"2020-03-22","CA",37,3,"West"
"419",419,"2020-03-23","CA",23,2,"West"
"420",420,"2020-03-24","CA",46,1,"West"
"421",421,"2020-03-25","CA",47,1,"West"
"422",422,"2020-03-26","CA",40,2,"West"
"423",423,"2020-03-27","CA",33,1,"West"
"424",424,"2020-03-28","CA",31,1,"West"
"425",425,"2020-03-29","CA",22,1,"West"
"426",426,"2020-03-30","CA",23,0,"West"
"427",427,"2020-03-31","CA",17,1,"West"
"428",428,"2020-04-01","CA",21,0,"West"
"429",429,"2020-04-02","CA",18,2,"West"
"430",430,"2020-04-03","CA",15,1,"West"
"431",431,"2020-04-04","CA",17,0,"West"
"432",432,"2020-04-05","CA",16,1,"West"
"433",433,"2020-04-06","CA",19,0,"West"
"434",434,"2020-04-07","CA",12,1,"West"
"435",435,"2020-04-08","CA",11,1,"West"
"436",436,"2020-04-09","CA",13,1,"West"
"437",437,"2020-04-10","CA",11,1,"West"
"438",438,"2020-04-11","CA",10,1,"West"
"439",439,"2020-04-12","CA",11,1,"West"
"440",440,"2020-04-13","CA",10,1,"West"
"441",441,"2020-04-14","CA",8,1,"West"
"442",442,"2020-04-15","CA",11,0,"West"
"443",443,"2020-04-16","CA",11,1,"West"
"444",444,"2020-04-17","CA",11,0,"West"
"445",445,"2020-04-18","CA",11,0,"West"
"446",446,"2020-01-21","CO",22,0,"Mountain"
"447",447,"2020-01-22","CO",30,0,"Mountain"
"448",448,"2020-01-23","CO",70,0,"Mountain"
"449",449,"2020-01-24","CO",69,0,"Mountain"
"450",450,"2020-01-25","CO",100,0,"Mountain"
"451",451,"2020-01-26","CO",80,0,"Mountain"
"452",452,"2020-01-27","CO",43,0,"Mountain"
"453",453,"2020-01-28","CO",46,5,"Mountain"
"454",454,"2020-01-29","CO",41,0,"Mountain"
"455",455,"2020-01-30","CO",43,5,"Mountain"
"456",456,"2020-01-31","CO",41,0,"Mountain"
"457",457,"2020-02-01","CO",32,0,"Mountain"
"458",458,"2020-02-02","CO",19,6,"Mountain"
"459",459,"2020-02-03","CO",29,0,"Mountain"
"460",460,"2020-02-04","CO",20,0,"Mountain"
"461",461,"2020-02-05","CO",16,0,"Mountain"
"462",462,"2020-02-06","CO",21,0,"Mountain"
"463",463,"2020-02-07","CO",21,0,"Mountain"
"464",464,"2020-02-08","CO",13,0,"Mountain"
"465",465,"2020-02-09","CO",12,0,"Mountain"
"466",466,"2020-02-10","CO",18,0,"Mountain"
"467",467,"2020-02-11","CO",28,0,"Mountain"
"468",468,"2020-02-12","CO",16,0,"Mountain"
"469",469,"2020-02-13","CO",13,0,"Mountain"
"470",470,"2020-02-14","CO",11,0,"Mountain"
"471",471,"2020-02-15","CO",26,0,"Mountain"
"472",472,"2020-02-16","CO",12,0,"Mountain"
"473",473,"2020-02-17","CO",17,0,"Mountain"
"474",474,"2020-02-18","CO",10,0,"Mountain"
"475",475,"2020-02-19","CO",5,0,"Mountain"
"476",476,"2020-02-20","CO",10,0,"Mountain"
"477",477,"2020-02-21","CO",16,0,"Mountain"
"478",478,"2020-02-22","CO",12,0,"Mountain"
"479",479,"2020-02-23","CO",12,0,"Mountain"
"480",480,"2020-02-24","CO",8,0,"Mountain"
"481",481,"2020-02-25","CO",5,0,"Mountain"
"482",482,"2020-02-26","CO",15,0,"Mountain"
"483",483,"2020-02-27","CO",10,0,"Mountain"
"484",484,"2020-02-28","CO",24,0,"Mountain"
"485",485,"2020-02-29","CO",25,6,"Mountain"
