"","Day","State","ChinaVirusInterest","KungFluInterest"
"286",2020-02-08,"AZ",29,0
"287",2020-02-09,"AZ",0,0
"288",2020-02-10,"AZ",39,10
"289",2020-02-11,"AZ",44,0
"290",2020-02-12,"AZ",30,0
"291",2020-02-13,"AZ",20,0
"292",2020-02-14,"AZ",10,0
"293",2020-02-15,"AZ",23,0
"294",2020-02-16,"AZ",12,0
"295",2020-02-17,"AZ",15,0
"296",2020-02-18,"AZ",11,0
"297",2020-02-19,"AZ",18,0
"298",2020-02-20,"AZ",12,0
"299",2020-02-21,"AZ",13,0
"300",2020-02-22,"AZ",15,0
"301",2020-02-23,"AZ",15,0
"302",2020-02-24,"AZ",24,0
"303",2020-02-25,"AZ",0,0
"304",2020-02-26,"AZ",24,0
"305",2020-02-27,"AZ",37,0
"306",2020-02-28,"AZ",26,0
"307",2020-02-29,"AZ",59,0
"308",2020-03-01,"AZ",15,0
"309",2020-03-02,"AZ",12,0
"310",2020-03-03,"AZ",17,0
"311",2020-03-04,"AZ",46,0
"312",2020-03-05,"AZ",18,0
"313",2020-03-06,"AZ",25,0
"314",2020-03-07,"AZ",15,0
"315",2020-03-08,"AZ",15,0
"316",2020-03-09,"AZ",31,0
"317",2020-03-10,"AZ",13,0
"318",2020-03-11,"AZ",37,12
"319",2020-03-12,"AZ",61,0
"320",2020-03-13,"AZ",68,0
"321",2020-03-14,"AZ",60,0
"322",2020-03-15,"AZ",29,0
"323",2020-03-16,"AZ",100,0
"324",2020-03-17,"AZ",38,0
"325",2020-03-18,"AZ",38,0
"326",2020-03-19,"AZ",57,13
"327",2020-03-20,"AZ",55,0
"328",2020-03-21,"AZ",70,28
"329",2020-03-22,"AZ",70,0
"330",2020-03-23,"AZ",64,0
"331",2020-03-24,"AZ",25,12
"332",2020-03-25,"AZ",82,0
"333",2020-03-26,"AZ",57,0
"334",2020-03-27,"AZ",36,0
"335",2020-03-28,"AZ",28,14
"336",2020-03-29,"AZ",14,0
"337",2020-03-30,"AZ",25,0
"338",2020-03-31,"AZ",58,0
"339",2020-04-01,"AZ",37,0
"340",2020-04-02,"AZ",43,0
"341",2020-04-03,"AZ",49,0
"342",2020-04-04,"AZ",14,0
"343",2020-04-05,"AZ",14,0
"344",2020-04-06,"AZ",34,0
"345",2020-04-07,"AZ",46,0
"346",2020-04-08,"AZ",29,0
"347",2020-04-09,"AZ",12,0
"348",2020-04-10,"AZ",12,0
"349",2020-04-11,"AZ",14,0
"350",2020-04-12,"AZ",13,0
"351",2020-04-13,"AZ",34,0
"352",2020-04-14,"AZ",34,0
"353",2020-04-15,"AZ",11,0
"354",2020-04-16,"AZ",23,0
"355",2020-04-17,"AZ",23,0
"356",2020-04-18,"AZ",26,0
"357",2020-01-21,"CA",45,0
"358",2020-01-22,"CA",62,0
"359",2020-01-23,"CA",82,0
"360",2020-01-24,"CA",94,1
"361",2020-01-25,"CA",100,0
"362",2020-01-26,"CA",81,1
"363",2020-01-27,"CA",65,1
"364",2020-01-28,"CA",70,1
"365",2020-01-29,"CA",55,2
"366",2020-01-30,"CA",43,1
"367",2020-01-31,"CA",43,0
"368",2020-02-01,"CA",35,0
"369",2020-02-02,"CA",30,2
"370",2020-02-03,"CA",23,1
