date,state,positive,negative,death,hospitalized,totalTestResults,FIPS
3/16/2020,ID,5,265,,,270,16
3/16/2020,IL,93,932,,,1025,17
3/16/2020,IN,24,115,1,,139,18
3/16/2020,KS,11,166,1,,177,20
3/16/2020,KY,21,234,1,,255,21
3/16/2020,LA,114,188,2,,302,22
3/16/2020,MA,164,352,,,516,25
3/16/2020,MD,37,94,,,131,24
3/16/2020,ME,17,764,,,781,23
3/16/2020,MI,1933,272,,,2205,26
3/16/2020,MN,54,1839,,,1893,27
3/16/2020,MO,6,164,0,,170,29
3/16/2020,MP,0,,,,0,69
3/16/2020,MS,12,277,,,289,28
3/16/2020,MT,7,198,,,205,30
3/16/2020,NC,33,296,0,,329,37
3/16/2020,ND,1,123,0,,124,38
3/16/2020,NE,18,170,,,188,31
3/16/2020,NH,13,271,,,284,33
3/16/2020,NJ,178,120,2,,298,34
3/16/2020,NM,17,566,,,583,35
3/16/2020,NV,45,168,1,,213,32
3/16/2020,NY,950,4543,7,,5493,36
3/16/2020,OH,50,140,,,190,39
3/16/2020,OK,10,174,,,184,40
3/16/2020,OR,39,579,,,618,41
3/16/2020,PA,76,670,,,746,42
3/16/2020,PR,5,9,,,14,72
3/16/2020,RI,21,308,,,329,44
3/16/2020,SC,28,235,1,,263,45
3/16/2020,SD,10,494,,,504,46
3/16/2020,TN,52,270,,,322,47
3/16/2020,TX,57,,,,57,48
3/16/2020,UT,39,131,0,,170,49
3/16/2020,VA,51,438,1,,489,51
3/16/2020,VI,1,,,,1,78
3/16/2020,VT,8,421,,,429,50
3/16/2020,WA,1052,9451,68,,10503,53
3/16/2020,WI,47,504,,,551,55
3/16/2020,WV,0,80,0,,80,54
3/16/2020,WY,3,,,,3,56
3/17/2020,AK,3,334,,,337,2
3/17/2020,AL,36,28,0,,64,1
3/17/2020,AR,22,197,,,219,5
3/17/2020,AS,,,,,,60
3/17/2020,AZ,20,142,0,,162,4
3/17/2020,CA,483,7981,11,,8464,6
3/17/2020,CO,160,1056,1,,1216,8
3/17/2020,CT,41,125,,,166,9
3/17/2020,DC,22,104,,,126,11
3/17/2020,DE,16,36,,,52,10
3/17/2020,FL,186,940,6,,1126,12
3/17/2020,GA,146,,1,,146,13
3/17/2020,GU,5,41,,,46,66
3/17/2020,HI,10,,,,10,15
3/17/2020,IA,23,83,,,106,19
3/17/2020,ID,7,346,,,353,16
3/17/2020,IL,159,1340,1,,1499,17
3/17/2020,IN,30,129,2,,159,18
3/17/2020,KS,15,382,1,,397,20
3/17/2020,KY,22,295,1,,317,21
3/17/2020,LA,171,286,4,,457,22
3/17/2020,MA,218,1541,,,1759,25
3/17/2020,MD,57,94,,,151,24
3/17/2020,ME,32,1303,,,1335,23
3/17/2020,MI,2393,626,,,3019,26
3/17/2020,MN,60,2276,,,2336,27
3/17/2020,MO,8,207,0,,215,29
3/17/2020,MP,0,,,,0,69
3/17/2020,MS,21,368,,,389,28
3/17/2020,MT,8,303,,,311,30
3/17/2020,NC,40,474,0,,514,37
