"","polyname","State","StateColor","total_2016","dem_2016","gop_2016","oth_2016","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age","percent_democrat2016","percent_republican2016","percent_other2016","Winner","positive","positiveScore","negativeScore","negativeRegularScore","commercialScore","grade","score","negative","pending","hospitalizedCurrently","hospitalizedCumulative","inIcuCurrently","inIcuCumulative","onVentilatorCurrently","onVentilatorCumulative","recovered","lastUpdateEt","checkTimeEt","death","hospitalized","total","totalTestResults","posNeg","fips","dateModified","dateChecked","StayAtHome_date","Quarantine_Yes","na.rm","X","mean_ChinaVirusInterest","mean_KungFluInterest"
"11","georgia","GA","purple",4029564,1837300,2068623,123641,9810417,0.55,0.3,0.03,0.09,25182,673,35.6,0.455955036,0.513361495,0.030683468,"Republican",18947,1,1,1,1,"A",4,65381,NA,NA,3550,NA,NA,NA,NA,NA,"4/20 11:27","4/20 14:21",733,3550,84328,84328,84328,13,2020-04-20,2020-04-20,2020-04-03,1,TRUE,11,38.7333333333333,3.66666666666667
"12","hawaii","HI","blue",428825,266827,128815,33183,1376298,0.23,0.02,0.37,0.09,29305,1220,38.3,0.622228182,0.300390602,0.077381216,"Democrat",580,1,1,1,1,"A",4,23595,NA,NA,52,NA,NA,NA,NA,414,"4/19 18:00","4/20 14:50",10,52,24175,24175,24175,15,2020-04-19,2020-04-20,2020-03-25,1,TRUE,12,32.7333333333333,2.6
"13","idaho","ID","purple",688235,189677,407199,91359,1583364,0.84,0.01,0.01,0.11,22568,607,34.9,0.275599178,0.59165692,0.132743903,"Republican",1672,1,1,1,1,"A",4,15773,NA,NA,151,NA,53,NA,NA,585,"4/19 19:00","4/20 15:27",45,151,17445,17445,17445,16,2020-04-19,2020-04-20,2020-03-25,1,TRUE,14,28,4
"14","illinois","IL","blue",5374280,2977498,2118179,278603,12848554,0.63,0.14,0.05,0.16,29666,759,36.8,0.55402733,0.394132609,0.05184006,"Democrat",31508,1,1,1,1,"A",4,116850,NA,4599,NA,1239,NA,757,NA,NA,"4/20 00:00","4/20 16:04",1349,NA,148358,148358,148358,17,2020-04-20,2020-04-20,2020-03-21,1,TRUE,15,47.2666666666667,6.4
"15","indiana","IN","red",2722029,1031953,1556220,133856,6514861,0.81,0.09,0.02,0.06,24635,577,37.1,0.379111685,0.571713233,0.049175082,"Republican",11686,1,1,1,0,"B",3,52953,NA,NA,NA,669,NA,353,NA,NA,"4/19 23:59","4/20 15:51",569,NA,64639,64639,64639,18,2020-04-20,2020-04-20,2020-03-24,1,TRUE,16,37.4666666666667,2.93333333333333
"16","iowa","IA","blue",1542880,650790,798923,93167,3062553,0.88,0.03,0.02,0.05,27027,534,38.1,0.421802084,0.517812792,0.060385124,"Republican",3159,1,1,1,1,"A",4,22661,NA,214,NA,91,NA,58,NA,1235,"4/19 12:00","4/20 14:31",79,NA,25820,25820,25820,19,2020-04-19,2020-04-20,NA,0,TRUE,13,35.9333333333333,4.06666666666667
"17","kansas","KS","red",1147143,414788,656009,76346,2868107,0.78,0.06,0.02,0.11,26929,551,36,0.361583517,0.571863316,0.066553167,"Republican",1986,1,1,1,0,"B",3,16775,NA,NA,405,NA,NA,NA,NA,NA,"4/20 12:00","4/20 14:41",100,405,18761,18761,18761,20,2020-04-20,2020-04-20,2020-03-30,1,TRUE,17,26.8666666666667,2.06666666666667
"18","kentucky","KY","red",1922218,628834,1202942,90442,4361333,0.86,0.08,0.01,0.03,23462,506,38.2,0.327139794,0.625809351,0.047050855,"Republican",2960,1,1,1,1,"A",4,29612,NA,274,1059,155,534,NA,NA,1174,"4/19 17:00","4/20 16:07",148,1059,32572,32572,32572,21,2020-04-19,2020-04-20,2020-03-26,1,TRUE,18,36.2666666666667,3.4
"19","louisiana","LA","red",2027731,779535,1178004,70192,4567968,0.6,0.32,0.02,0.04,24442,610,36,0.384437088,0.580946881,0.034616031,"Republican",24523,1,1,1,1,"A",4,117576,NA,1794,NA,NA,NA,332,NA,NA,"4/20 13:00","4/20 14:45",1328,NA,142099,142099,142099,22,2020-04-20,2020-04-20,2020-03-23,1,TRUE,19,49.3333333333333,1.86666666666667
"20","maine","ME","red",741550,354873,334838,51839,1328320,0.94,0.01,0.01,0.01,26824,664,43.2,0.478555728,0.451537995,0.069906277,"Democrat",875,1,1,1,1,"A",4,14076,NA,39,138,16,NA,9,NA,414,"4/20 11:15","4/20 15:21",35,138,14951,14951,14951,23,2020-04-20,2020-04-20,2020-04-02,1,TRUE,22,50,4.6
